Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-12-04,La La Land,2016,https://boxd.it/3uHLXT,5,Yes,,2022-12-03
2022-12-14,Bones and All,2022,https://boxd.it/3wRZBb,4,,,2022-12-13
2022-12-15,Avatar,2009,https://boxd.it/3x6PTJ,4,Yes,,2022-12-14
2022-12-17,Ancient Apocalypse,2022,https://boxd.it/3xvX4T,3,,,2022-12-16
2022-12-18,Camp Rock 2: The Final Jam,2010,https://boxd.it/3xPaDZ,1.5,,,2022-12-17
2022-12-18,Bullet Train,2022,https://boxd.it/3xPb6n,2.5,,,2022-12-17
2022-12-19,She Said,2022,https://boxd.it/3y3SmB,4.5,,,2022-12-18
2022-12-24,Avatar: The Way of Water,2022,https://boxd.it/3zu8B9,4,,,2022-12-23
2022-12-25,Home Alone 2: Lost in New York,1992,https://boxd.it/3zMDB1,4,Yes,,2022-12-24
2022-12-27,Jojo Rabbit,2019,https://boxd.it/3As5Tf,3.5,,,2022-12-26
2023-01-02,Glass Onion,2022,https://boxd.it/3CPmmr,1.5,,,2023-01-01
2023-01-04,Free Solo,2018,https://boxd.it/3DIl6n,4,,,2023-01-03
2023-01-06,Aftersun,2022,https://boxd.it/3EsZ6f,4,,,2023-01-05
2023-01-07,The Hunt,2012,https://boxd.it/3EQVFt,4,,,2023-01-06
2023-01-08,The Menu,2022,https://boxd.it/3FkfYN,2.5,,,2023-01-07
2023-01-10,Rear Window,1954,https://boxd.it/3G9nc5,5,,,2023-01-09
2023-01-11,Promising Young Woman,2020,https://boxd.it/3Gvz0T,3.5,,,2023-01-10
2023-01-12,Reservoir Dogs,1992,https://boxd.it/3GOFJ9,3.5,,,2023-01-11
2023-01-14,Raiders of the Lost Ark,1981,https://boxd.it/3HpKaH,4.5,Yes,,2023-01-13
2023-01-16,Indiana Jones and the Last Crusade,1989,https://boxd.it/3I5Osp,5,Yes,,2023-01-14
2023-01-21,Zootopia,2016,https://boxd.it/3JHpZ9,4.5,Yes,,2023-01-20
2023-01-27,Babylon,2022,https://boxd.it/3LF0Ir,3,,profile,2023-01-26
2023-01-28,First Blood,1982,https://boxd.it/3LXUhn,3.5,,,2023-01-27
2023-01-28,Sherlock Holmes,2009,https://boxd.it/3LXUJ7,2.5,Yes,,2023-01-27
2023-01-31,Kill Bill: Vol. 2,2004,https://boxd.it/3MXqvj,4.5,,,2023-01-30
2023-02-03,La La Land,2016,https://boxd.it/3NNdW1,5,Yes,,2023-02-02
2023-02-05,The Godfather,1972,https://boxd.it/3Oh1Op,4.5,,,2023-02-04
2023-02-11,Love and Monsters,2020,https://boxd.it/3Q8k7f,3,,,2023-02-10
2023-02-12,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/3Ql3mX,5,Yes,,2023-02-11
2023-02-12,The Lord of the Rings: The Two Towers,2002,https://boxd.it/3QnknR,5,Yes,,2023-02-11
2023-02-12,The Lord of the Rings: The Return of the King,2003,https://boxd.it/3QrK6Z,5,Yes,,2023-02-11
2023-02-26,Lethal Weapon,1987,https://boxd.it/3UhGu5,3.5,,,2023-02-25
2023-02-26,Lethal Weapon 2,1989,https://boxd.it/3UjL5j,3,,,2023-02-25
2023-02-26,Eraserhead,1977,https://boxd.it/3Um9rn,4,,,2023-02-25
2023-03-06,Call Me by Your Name,2017,https://boxd.it/3WElRV,5,Yes,,2023-03-05
2023-03-09,Creed III,2023,https://boxd.it/3XocGr,3,,,2023-03-08
2023-03-17,Arrival,2016,https://boxd.it/3ZAedt,5,Yes,,2023-03-16
2023-03-29,Little Women,2019,https://boxd.it/42NlJz,4.5,Yes,,2023-03-28
2023-04-02,Legally Blonde,2001,https://boxd.it/43N9uL,3,,,2023-04-01
2023-04-02,The Banshees of Inisherin,2022,https://boxd.it/43Ql1n,3.5,,,2023-04-01
2023-04-06,TÁR,2022,https://boxd.it/44Udg7,3.5,,,2023-04-05
2023-04-08,Rye Lane,2023,https://boxd.it/45u8iT,4,,,2023-04-07
2023-04-08,Portrait of a Lady on Fire,2019,https://boxd.it/45xe9f,5,,,2023-04-07
2023-04-09,"Legally Blonde 2: Red, White & Blonde",2003,https://boxd.it/45PzNr,2,,,2023-04-08
2023-04-23,White Chicks,2004,https://boxd.it/49DXch,2.5,,,2023-04-22
2023-04-23,Jumanji: The Next Level,2019,https://boxd.it/49DXwL,2.5,Yes,,2023-04-22
2023-05-01,Shithouse,2020,https://boxd.it/4bMrPn,3,,,2023-04-30
2023-05-14,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/4f7FNp,4,,,2023-05-13
2023-05-20,Mission: Impossible,1996,https://boxd.it/4gyVsZ,3.5,,,2023-05-19
2023-05-22,Before Sunrise,1995,https://boxd.it/4h83W9,3.5,,,2023-05-21
2023-05-24,John Wick: Chapter 4,2023,https://boxd.it/4hDJHn,3,,,2023-05-23
